zip_x,2010 Census Population,20-29,30-39,40-49,50-59,60-69,70-79,>79
2481,16244,1121,1056,1153,1105,763,439,301
2482,10306,711,670,732,701,484,278,191
2492,19931,1375,1296,1415,1355,937,538,369
2493,11261,777,732,800,766,529,304,208
2494,8955,618,582,636,609,421,242,166
2532,12690,876,825,901,863,596,343,235
2534,842,58,55,60,57,40,23,16
2535,1177,81,77,84,80,55,32,22
2536,19583,1351,1273,1390,1332,920,529,362
2537,6293,434,409,447,428,296,170,116
2538,3603,249,234,256,245,169,97,67
2539,4067,281,264,289,277,191,110,75
2540,8221,567,534,584,559,386,222,152
2542,1139,79,74,81,77,54,31,21
2543,635,44,41,45,43,30,17,12
2553,226,16,15,16,15,11,6,4
2554,9852,680,640,699,670,463,266,182
2556,3115,215,202,221,212,146,84,58
2557,4491,310,292,319,305,211,121,83
2558,2156,149,140,153,147,101,58,40
2559,3376,233,219,240,230,159,91,62
2561,539,37,35,38,37,25,15,10
2562,2977,205,194,211,202,140,80,55
2563,10359,715,673,735,704,487,280,192
2564,310,21,20,22,21,15,8,6
2568,4000,276,260,284,272,188,108,74
2571,10481,723,681,744,713,493,283,194
2575,2725,188,177,193,185,128,74,50
2576,3754,259,244,267,255,176,101,69
2584,10,1,1,1,1,0,0,0
2601,14089,972,916,1000,958,662,380,261
2630,1850,128,120,131,126,87,50,34
2631,9679,668,629,687,658,455,261,179
2632,10742,741,698,763,730,505,290,199
2633,3884,268,252,276,264,183,105,72
2635,3296,227,214,234,224,155,89,61
2637,253,17,16,18,17,12,7,5
2638,3207,221,208,228,218,151,87,59
2639,2875,198,187,204,196,135,78,53
2641,532,37,35,38,36,25,14,10
2642,4937,341,321,351,336,232,133,91
2643,26,2,2,2,2,1,1,0
2644,3955,273,257,281,269,186,107,73
2645,9663,667,628,686,657,454,261,179
2646,1676,116,109,119,114,79,45,31
2647,129,9,8,9,9,6,3,2
2648,7301,504,475,518,496,343,197,135
2649,14006,966,910,994,952,658,378,259
2650,848,59,55,60,58,40,23,16
2651,16,1,1,1,1,1,0,0
2652,1175,81,76,83,80,55,32,22
2653,5911,408,384,420,402,278,160,109
2655,3518,243,229,250,239,165,95,65
2657,2942,203,191,209,200,138,79,54
2659,1108,76,72,79,75,52,30,20
2660,6261,432,407,445,426,294,169,116
2663,173,12,11,12,12,8,5,3
2664,9371,647,609,665,637,440,253,173
2666,828,57,54,59,56,39,22,15
2667,2580,178,168,183,175,121,70,48
2668,3278,226,213,233,223,154,89,61
2669,285,20,19,20,19,13,8,5
2670,1307,90,85,93,89,61,35,24
2671,1023,71,66,73,70,48,28,19
2672,180,12,12,13,12,8,5,3
2673,8402,580,546,597,571,395,227,155
2675,6577,454,428,467,447,309,178,122
2702,4125,285,268,293,281,194,111,76
2703,43593,3008,2834,3095,2964,2049,1177,806
2713,52,4,3,4,4,2,1,1
2715,3123,215,203,222,212,147,84,58
2717,4745,327,308,337,323,223,128,88
2718,6655,459,433,473,453,313,180,123
2719,15873,1095,1032,1127,1079,746,429,294
2720,30287,2090,1969,2150,2060,1423,818,560
2721,26290,1814,1709,1867,1788,1236,710,486
2723,14767,1019,960,1048,1004,694,399,273
2724,16908,1167,1099,1200,1150,795,457,313
2725,2631,182,171,187,179,124,71,49
2726,15534,1072,1010,1103,1056,730,419,287
2738,4907,339,319,348,334,231,132,91
2739,6045,417,393,429,411,284,163,112
2740,43087,2973,2801,3059,2930,2025,1163,797
2743,10307,711,670,732,701,484,278,191
2744,11900,821,774,845,809,559,321,220
2745,24576,1696,1597,1745,1671,1155,664,455
2746,15342,1059,997,1089,1043,721,414,284
2747,22927,1582,1490,1628,1559,1078,619,424
2748,11442,789,744,812,778,538,309,212
